fid,event_id,geom_ids,survey_dat,survey_d_1,agents,hosts,symptoms,survey_met,trigger_pr,trigger_se,trigger__1,trigger__2,country,silvicultu,sanitary_i,sanitary_1,sanitary_2,pattern_de,pattern_di,pattern_mo,pattern__1,severity_d,severity_1,severity_m,severity_2,is_affecte,dataset_co,SURVEYSTA
21,19627,40847,2009-05-27,exact,Rhynchaenus fagi,Fagus sylvatica,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-contiguous,low-contiguous,,,1.0,1.0,,,1,IT-004,2009-05-27
22,19628,40848,2009-05-27,exact,Rhynchaenus fagi,Fagus sylvatica,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-contiguous,low-contiguous,,,1.0,1.0,,,1,IT-004,2009-05-27
23,19629,40849,2009-05-27,exact,Rhynchaenus fagi,Fagus sylvatica,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-contiguous,low-contiguous,,,1.0,1.0,,,1,IT-004,2009-05-27
24,19630,40850,2009-05-14,exact,Tortrix viridana,Quercus petraea,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,high-contiguous,,,,2.0,,,,1,IT-004,2009-05-14
25,19631,40851,2009-05-29,exact,Tomostethus nigritus,Fraxinus excelsior,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,high-patchy,,,,2.0,,,,1,IT-004,2009-05-29
26,19632,40852,2009-06-16,exact,Rhynchaenus fagi,Fagus sylvatica,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,low-contiguous,low-contiguous,,,1.0,1.0,,,1,IT-004,2009-06-16
27,19633,40853,2009-05-26,exact,Sphaeropsis sapinea,Pinus nigra,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,,low-patchy,,,,1.0,,,1,IT-004,2009-05-26
28,19634,40854,2009-05-26,exact,Heterobasidion annosum,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,low-patchy,,,,,1.0,,,1,IT-004,2009-05-26
29,19635,40855,2009-05-20,exact,Cryphonectria parasitica,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,,,low-patchy,,,1.0,1.0,1,IT-004,2009-05-20
30,19636,40856,2009-05-27,exact,unknown fungus,Ostrya carpinifolia,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,,,low-patchy,,,1.0,1.0,1,IT-004,2009-05-27
31,19637,40857,2009-06-23,exact,,Quercus pubescens,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,,,,low-patchy,,,1.0,1.0,1,IT-004,2009-06-23
32,19638,40858,2009-05-07,exact,Tortrix viridana,Quercus petraea,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,high-contiguous,,,,2.0,,,,1,IT-004,2009-05-07
33,19639,40859,2009-05-07,exact,Operophthera brumata,Quercus petraea,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,high-contiguous,,,,2.0,,,,1,IT-004,2009-05-07
34,19640,40860,2009-05-14,exact,Tortrix viridana,Quercus petraea,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,high-contiguous,,,,2.0,,,,1,IT-004,2009-05-14
35,19641,40861,2009-05-07,exact,Tortrix viridana,Quercus petraea,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,,,,1.0,,,,1,IT-004,2009-05-07
36,19642,40862,2009-05-07,exact,Operophthera brumata,Quercus petraea,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,,,,1.0,,,,1,IT-004,2009-05-07
37,19643,40863,2010-04-22,exact,Tomicus destruens,Pinus pinaster,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,low-patchy,,low-patchy,1.0,1.0,,1.0,1,IT-004,2010-04-22
38,19644,40864,2010-04-21,exact,unknown fungus,Quercus robur,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,low-contiguous,low-contiguous,,low-contiguous,1.0,1.0,,1.0,1,IT-004,2010-04-21
39,19645,40865,2010-05-24,exact,Xylosandrus germanus,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,Clear cut,,,,,high-patchy,,,,,1.0,1,IT-004,2010-05-24
40,19646,40866,2010-06-01,exact,Xylosandrus crassiusculus,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,Clear cut,,,,,high-patchy,,,,,,1,IT-004,2010-06-01
41,19647,40867,2010-09-02,exact,Chrysomyxa rhododendri,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Shelterwood,,,,,,high-patchy,,,1.0,,1.0,1,IT-004,2010-09-02
42,19648,40868,2010-05-05,exact,Tomostethus nigritus,Fraxinus angustifolia,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Clear cut,,,,high-contiguous,,,,2.0,,,,1,IT-004,2010-05-05
43,19649,40869,2010-03-16,exact,unknown fungus,Ostrya carpinifolia,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,Clear cut,,,low-patchy,low-patchy,low-patchy,low-patchy,,,,,1,IT-004,2010-03-16
44,19650,40870,2010-03-23,exact,Cryphonectria parasitica,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Clear cut,,,,,,low-patchy,,,,1.0,1,IT-004,2010-03-23
45,19651,40871,2010-05-01,exact,Ips typographus,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Clear cut,,,low-patchy,low-patchy,low-patchy,low-patchy,,,,,1,IT-004,2010-05-01
46,19652,40872,2010-05-01,exact,Chionaspis salicis,Mixed broadleaves,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,,,low-patchy,,,,,1,IT-004,2010-05-01
47,19653,40873,2010-07-28,exact,Ips typographus,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Clear cut,,,high-patchy,high-patchy,,,2.0,2.0,,,1,IT-004,2010-07-28
48,19654,40874,2010-08-01,exact,Ips typographus,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Clear cut,,,,,,low-patchy,,,,1.0,1,IT-004,2010-08-01
49,19655,40875,2010-08-13,exact,Heterobasidion annosum,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Selective logging,,,,,,low-patchy,,,,1.0,1,IT-004,2010-08-13
50,19656,40876,2010-08-13,exact,Armillaria ostoyae,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Selective logging,,,,,,low-patchy,,,,1.0,1,IT-004,2010-08-13
51,19657,40877,2010-09-13,exact,Barbitistes vicetinus,Mixed broadleaves,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,,,,1.0,,,,1,IT-004,2010-09-13
52,19658,40878,2010-11-14,exact,unknown fungus,Fagus sylvatica,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,,,,low-patchy,,,,1.0,1,IT-004,2010-11-14
53,19659,40879,2010-04-22,exact,Xyleborus dispar,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,Clear cut,,,,,,,,,,,1,IT-004,2010-04-22
54,19660,40880,2010-04-22,exact,Xylosandrus germanus,Castanea sativa,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,Clear cut,,,,,,,,,,,1,IT-004,2010-04-22
55,19661,40881,2010-05-05,exact,Thaumetopoea pityocampa,Pinus nigra,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,low-patchy,,low-patchy,1.0,1.0,,1.0,1,IT-004,2010-05-05
56,19662,40882,2010-06-01,exact,Ips typographus,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,,low-patchy,,,,,,1,IT-004,2010-06-01
57,19663,40883,2010-07-08,exact,Ips acuminatus,Pinus sylvestris,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,Clear cut,,,high-patchy,high-patchy,,high-patchy,2.0,2.0,,2.0,1,IT-004,2010-07-08
58,19664,40884,2010-07-06,exact,Coleophora laricella,Larix decidua,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,high-patchy,,,,2.0,,,,1,IT-004,2010-07-06
59,19665,40885,2010-07-29,exact,Ips acuminatus,Pinus sylvestris,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,Clear cut,,,high-patchy,high-patchy,,high-patchy,2.0,2.0,,2.0,1,IT-004,2010-07-29
60,19666,40886,2010-07-16,exact,Ips acuminatus,Pinus sylvestris,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,Clear cut,,,high-patchy,high-patchy,,high-patchy,2.0,2.0,,2.0,1,IT-004,2010-07-16
61,19667,40887,2010-08-12,exact,Chrysomyxa rhododendri,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,high-patchy,,,,2.0,,,1,IT-004,2010-08-12
62,19668,40888,2010-08-12,exact,Ips typographus,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Clear cut,,,,,,high-patchy,,,,2.0,1,IT-004,2010-08-12
63,19669,40889,2010-08-23,exact,Chrysomyxa rhododendri,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,high-patchy,,,,2.0,,,1,IT-004,2010-08-23
64,19670,40890,2010-08-26,exact,Chrysomyxa rhododendri,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,high-patchy,,,,2.0,,,1,IT-004,2010-08-26
65,19671,40891,2010-08-23,exact,Chrysomyxa rhododendri,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,high-patchy,,,,2.0,,,1,IT-004,2010-08-23
66,19672,40892,2010-09-21,exact,Chrysomyxa rhododendri,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,high-patchy,,,,2.0,,,1,IT-004,2010-09-21
67,19673,40893,2010-09-30,exact,Ips typographus,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Clear cut,,,,,,high-patchy,,,,2.0,1,IT-004,2010-09-30
68,19674,40894,2010-09-09,exact,Ips typographus,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Clear cut,,,,,,high-patchy,,,,2.0,1,IT-004,2010-09-09
69,19675,40895,2010-09-20,exact,Ips typographus,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Clear cut,,,,,,high-patchy,,,,2.0,1,IT-004,2010-09-20
70,19676,40896,2010-09-20,exact,Ips typographus,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Clear cut,,,,,,low-patchy,,,,1.0,1,IT-004,2010-09-20
71,19677,40897,2010-09-20,exact,Ips typographus,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Clear cut,,,,,,high-patchy,,,,2.0,1,IT-004,2010-09-20
72,19678,40898,2010-09-20,exact,Ips typographus,Picea abies,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,Clear cut,,,,,,low-patchy,,,,1.0,1,IT-004,2010-09-20
73,19679,40899,2011-08-29,exact,Ips typographus,Picea abies,Defoliation,Field surveys,,,-1.0,,Italy,Selective logging,,,,low-patchy,low-patchy,,low-patchy,1.0,1.0,,1.0,1,IT-004,2011-08-29
74,19680,40900,2011-01-24,exact,Ips typographus,Picea abies,Defoliation,Field surveys,,,-1.0,,Italy,Clear cut,,,,,,,low-patchy,,,,1.0,1,IT-004,2011-01-24
75,19681,40901,2011-03-22,exact,Ips typographus,Picea abies,Defoliation,Field surveys,,,-1.0,,Italy,,,,,high-contiguous,high-contiguous,,high-contiguous,2.0,2.0,,2.0,1,IT-004,2011-03-22
76,19682,40902,2011-05-01,exact,Nymphalis polycloros,Ulmus sp.,Defoliation,Field surveys,,,-1.0,,Italy,,,,,,,,,,,,,1,IT-004,2011-05-01
77,19683,40903,2011-05-08,exact,Coleophora laricella,Larix decidua,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,high-contiguous,high-contiguous,,,2.0,2.0,,,1,IT-004,2011-05-08
78,19684,40904,2011-05-08,exact,Coleophora laricella,Larix decidua,Defoliation,Field surveys,,,-1.0,,Italy,Selective logging,,,,high-contiguous,high-contiguous,,,2.0,2.0,,,1,IT-004,2011-05-08
79,19685,40905,2011-08-12,exact,Aproceros leucopoda,Ulmus pumila,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,high-patchy,,,,2.0,,,,1,IT-004,2011-08-12
80,19686,40906,2011-07-07,exact,Chalara fraxinea,Fraxinus excelsior,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,low-patchy,,low-patchy,,1.0,,1.0,1,IT-004,2011-07-07
81,19687,40907,2011-04-28,exact,Tomostethus nigritus,Fraxinus angustifolia,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Clear cut,,,,high-contiguous,,,,2.0,,,,1,IT-004,2011-04-28
82,19688,40908,2011-05-08,exact,Rhynchaenus ulmi,Ulmus sp.,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,low-patchy,,,1.0,1.0,,,1,IT-004,2011-05-08
83,19689,40909,2011-05-12,exact,Yponomeuta sp.,Rhamnus cathartica,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,high-contiguous,,,,2.0,,,,1,IT-004,2011-05-12
84,19690,40910,2011-05-12,exact,Yponomeuta sp.,Ligustrum vulgare,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,high-contiguous,,,,2.0,,,,1,IT-004,2011-05-12
85,19691,40911,2011-05-12,exact,Yponomeuta sp.,Crataegus monogyna,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,high-contiguous,,,,2.0,,,,1,IT-004,2011-05-12
86,19692,40912,2011-05-06,exact,Coleophora laricella,Larix decidua,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,high-contiguous,,,,2.0,,,,1,IT-004,2011-05-06
87,19693,40913,2011-04-27,exact,Yponomeuta cagnagella,Euonymus europaeus,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,high-patchy,,,,2.0,,,,1,IT-004,2011-04-27
88,19694,40914,2011-11-03,exact,Corythucha arcuata,Quercus castaneifolia,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,,,,1.0,,,,1,IT-004,2011-11-03
89,19695,40915,2011-01-25,exact,Tomicus destruens,Pinus pinaster,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,,,low-patchy,,,,1.0,1,IT-004,2011-01-25
90,19696,40916,2011-05-05,exact,Periclista lineolata,Quercus robur,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,low-contiguous,,,,1.0,,,,1,IT-004,2011-05-05
91,19697,40917,2011-04-16,exact,Nymphalis polycloros,Prunus avium,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,,,,1.0,,,,1,IT-004,2011-04-16
92,19698,40918,2011-04-16,exact,Nymphalis polycloros,Celtis australis,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,,,,1.0,,,,1,IT-004,2011-04-16
93,19699,40919,2011-04-16,exact,Nymphalis polycloros,Ulmus sp.,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,low-patchy,,,,1.0,,,,1,IT-004,2011-04-16
94,19700,40920,2011-07-22,exact,Corythucha arcuata,Quercus robur,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,,low-patchy,,low-patchy,,1.0,,1.0,1,IT-004,2011-07-22
95,19701,40921,2011-05-03,exact,Yponomeuta sp.,Euonymus europaeus,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,high-patchy,,,,2.0,,,,1,IT-004,2011-05-03
96,19702,40922,2011-04-30,exact,Yponomeuta sp.,Euonymus europaeus,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,high-patchy,,,,2.0,,,,1,IT-004,2011-04-30
97,19703,40923,2011-04-28,exact,Tomostethus nigritus,Fraxinus sp.,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,high-patchy,,,,2.0,,,,1,IT-004,2011-04-28
98,19704,40924,2011-05-01,exact,Nymphalis polycloros,Celtis australis,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,high-patchy,,,,2.0,,,,1,IT-004,2011-05-01
99,19705,40925,2011-05-28,exact,Chalara fraxinea,Fraxinus excelsior,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,,low-patchy,,low-patchy,,1.0,,1.0,1,IT-004,2011-05-28
100,19706,40926,2011-06-05,exact,Chalara fraxinea,Fraxinus excelsior,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,,low-patchy,,low-patchy,,1.0,,1.0,1,IT-004,2011-06-05
101,19707,40927,2011-07-17,exact,Chalara fraxinea,Fraxinus excelsior,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,,,,,,,,low-patchy,,,,1.0,1,IT-004,2011-07-17
102,19708,40928,2011-07-23,exact,Chalara fraxinea,Fraxinus excelsior,Defoliation,Field surveys,Pest/Disease,,-1.0,,Italy,Selective logging,,,,,low-patchy,,low-patchy,,1.0,,1.0,1,IT-004,2011-07-23
103,19709,40929,2011-05-08,exact,Coleophora laricella,Larix decidua,Defoliation,Field surveys,,,-1.0,,Italy,Selective logging,,,,high-contiguous,high-contiguous,,,2.0,2.0,,,1,IT-004,2011-05-08
104,19710,40930,2011-03-22,exact,Ips typographus,Picea abies,Defoliation,Field surveys,,,-1.0,,Italy,Selective logging,,,,high-patchy,high-patchy,,high-patchy,2.0,2.0,,2.0,1,IT-004,2011-03-22
105,19711,40931,2011-05-09,exact,Yponomeuta sp.,,,Field surveys,,,-1.0,,Italy,,,,,high-contiguous,,,,2.0,,,,1,IT-004,2011-05-09
106,19712,40932,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,high-patchy,high-patchy,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2009-07-25
107,19713,40933,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,high-patchy,high-patchy,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2009-07-25
108,19714,40934,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,high-patchy,high-patchy,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2009-07-25
109,19715,40935,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,high-patchy,high-patchy,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2009-07-25
110,19716,40936,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,high-patchy,high-patchy,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2009-07-25
111,19717,40937,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,high-patchy,high-patchy,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2009-07-25
112,19718,40938,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,high-patchy,high-patchy,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2009-07-25
113,19719,40939,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,high-patchy,high-patchy,high-patchy,high-patchy,1.0,1.0,1.0,1.0,1,ES-004,2009-07-25
114,19720,40940,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,low-patchy,low-patchy,low-patchy,low-patchy,2.0,2.0,4.0,2.0,1,ES-004,2009-07-25
115,19721,40941,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,low-patchy,low-patchy,low-patchy,low-patchy,2.0,2.0,4.0,2.0,1,ES-004,2009-07-25
116,19722,40942,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,low-patchy,low-patchy,low-patchy,low-patchy,2.0,2.0,4.0,2.0,1,ES-004,2009-07-25
117,19723,40943,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,low-patchy,low-patchy,low-patchy,low-patchy,2.0,2.0,4.0,2.0,1,ES-004,2009-07-25
118,19724,40944,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,low-patchy,low-patchy,low-patchy,low-patchy,2.0,2.0,4.0,2.0,1,ES-004,2009-07-25
119,19725,40945,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,low-patchy,low-patchy,low-patchy,low-patchy,2.0,2.0,4.0,2.0,1,ES-004,2009-07-25
120,19726,40946,2009-07-25,+/- 7 days,Heterobasidion annosum,Abies pinsapo,"Defoliation,Discolouration,Mortality,Dieback",Field surveys,Pest/Disease,,2009.0,,Spain,,,,,low-patchy,low-patchy,low-patchy,low-patchy,2.0,2.0,4.0,2.0,1,ES-004,2009-07-25
